subject,count,link
"princeton, new jersey",3,"https://www.viomenil.mountvernon.org/browse.html#princeton,%20new%20jersey"
"jean-baptiste de vimeur, comte de rochambeau",3,"https://www.viomenil.mountvernon.org/browse.html#jean-baptiste%20de%20vimeur,%20comte%20de%20rochambeau"
"amé de la laune",3,"https://www.viomenil.mountvernon.org/browse.html#am%C3%A9%20de%20la%20laune"
"armand louis de gontaut, duc de lauzun, later duc de biron",3,"https://www.viomenil.mountvernon.org/browse.html#armand%20louis%20de%20gontaut,%20duc%20de%20lauzun,%20later%20duc%20de%20biron"
"fort washington",3,"https://www.viomenil.mountvernon.org/browse.html#fort%20washington"
"tarrytown, new york",3,"https://www.viomenil.mountvernon.org/browse.html#tarrytown,%20new%20york"
"1726-1806",3,"https://www.viomenil.mountvernon.org/browse.html#1726-1806"
"josé solano y bote",3,"https://www.viomenil.mountvernon.org/browse.html#jos%C3%A9%20solano%20y%20bote"
"d’espeyron",3,"https://www.viomenil.mountvernon.org/browse.html#d%E2%80%99espeyron"
"john barker church aka john carter",3,"https://www.viomenil.mountvernon.org/browse.html#john%20barker%20church%20aka%20john%20carter"
"1748-1818",3,"https://www.viomenil.mountvernon.org/browse.html#1748-1818"
"curaçao",3,"https://www.viomenil.mountvernon.org/browse.html#cura%C3%A7ao"
"de bressolles",3,"https://www.viomenil.mountvernon.org/browse.html#de%20bressolles"
"1756-1842",3,"https://www.viomenil.mountvernon.org/browse.html#1756-1842"
"armand-charles-augustin de la croix, comte de charlus",3,"https://www.viomenil.mountvernon.org/browse.html#armand-charles-augustin%20de%20la%20croix,%20comte%20de%20charlus"
"adam philippe, comte de custine",3,"https://www.viomenil.mountvernon.org/browse.html#adam%20philippe,%20comte%20de%20custine"
"gabriel-claude palteau de veimerange",3,"https://www.viomenil.mountvernon.org/browse.html#gabriel-claude%20palteau%20de%20veimerange"
"1719-1787",3,"https://www.viomenil.mountvernon.org/browse.html#1719-1787"
"charles gravier de vergennes",3,"https://www.viomenil.mountvernon.org/browse.html#charles%20gravier%20de%20vergennes"
"1752-1782",3,"https://www.viomenil.mountvernon.org/browse.html#1752-1782"
"john laurens",3,"https://www.viomenil.mountvernon.org/browse.html#john%20laurens"
"françois louis arthur thibaut de ménonville",3,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois%20louis%20arthur%20thibaut%20de%20m%C3%A9nonville"
"hartford, connecticut",3,"https://www.viomenil.mountvernon.org/browse.html#hartford,%20connecticut"
"brest, france",3,"https://www.viomenil.mountvernon.org/browse.html#brest,%20france"
"friedrich wilhelm von steuben",3,"https://www.viomenil.mountvernon.org/browse.html#friedrich%20wilhelm%20von%20steuben"
"1730-1794",3,"https://www.viomenil.mountvernon.org/browse.html#1730-1794"
"rhode island",3,"https://www.viomenil.mountvernon.org/browse.html#rhode%20island"
"1742-1803",3,"https://www.viomenil.mountvernon.org/browse.html#1742-1803"
"claude blanchard",3,"https://www.viomenil.mountvernon.org/browse.html#claude%20blanchard"
"louis-marie-florent, duc du châtelet",2,"https://www.viomenil.mountvernon.org/browse.html#louis-marie-florent,%20duc%20du%20ch%C3%A2telet"
"frascati, italy",2,"https://www.viomenil.mountvernon.org/browse.html#frascati,%20italy"
"diane-adélaïde de rochechouart, duchesse du châtelet",2,"https://www.viomenil.mountvernon.org/browse.html#diane-ad%C3%A9la%C3%AFde%20de%20rochechouart,%20duchesse%20du%20ch%C3%A2telet"
"françois marie d'aboville",2,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois%20marie%20d'aboville"
"1730-1817",2,"https://www.viomenil.mountvernon.org/browse.html#1730-1817"
"1732-1804",2,"https://www.viomenil.mountvernon.org/browse.html#1732-1804"
"jacques necker",2,"https://www.viomenil.mountvernon.org/browse.html#jacques%20necker"
"inhabitants of boston",2,"https://www.viomenil.mountvernon.org/browse.html#inhabitants%20of%20boston"
"1753-1837",2,"https://www.viomenil.mountvernon.org/browse.html#1753-1837"
"guillaume-mathieu, comte de dumas",2,"https://www.viomenil.mountvernon.org/browse.html#guillaume-mathieu,%20comte%20de%20dumas"
"sérilly",2,"https://www.viomenil.mountvernon.org/browse.html#s%C3%A9rilly"
"philadelphie",2,"https://www.viomenil.mountvernon.org/browse.html#philadelphie"
